route,stop_name,direction
G,Metropolitan Av,
L,Myrtle-Wyckoff Avs,
M,Myrtle-Wyckoff Avs,
S,Park Place,
B,Prospect Park,
Q,Prospect Park,
S,Prospect Park,
A,Utica Av,
C,Utica Av,
L,Wilson Av,N
2,3 Av-149 St,
5,3 Av-149 St,
B,161 St-Yankee Stadium,
D,161 St-Yankee Stadium,
4,161 St-Yankee Stadium,
4,170 St,
1,231 St,
2,233 St,
5,233 St,
B,Bedford Park Blvd,
D,Bedford Park Blvd,
6,E 149 St,
2,E 180 St,
5,E 180 St,
4,Fordham Rd,
5,Gun Hill Rd,
2,Gun Hill Rd,
5,Gun Hill Rd,
6,Hunts Point Av,
B,Kingsbridge Rd,
D,Kingsbridge Rd,
4,Mosholu Pkwy,
6,Pelham Bay Park,
2,Pelham Pkwy,
5,Pelham Pkwy,
2,Simpson St,
5,Simpson St,
B,Tremont Av,
D,Tremont Av,
6,Westchester Sq-E Tremont Av,
F,21 St-Queensbridge,
7,61 St-Woodside,
A,Aqueduct Racetrack,
N,Astoria Blvd,
W,Astoria Blvd,
A,Beach 67 St,
G,Court Sq,
7,Court Sq,
E,Court Sq-23 St,N
M,Court Sq-23 St,N
A,Far Rockaway-Mott Av,
7,Flushing-Main St,
E,Forest Hills-71 Av,
F,Forest Hills-71 Av,
M,Forest Hills-71 Av,
R,Forest Hills-71 Av,
A,Howard Beach-JFK Airport,
E,Jackson Hts-Roosevelt Av,
F,Jackson Hts-Roosevelt Av,
M,Jackson Hts-Roosevelt Av,
R,Jackson Hts-Roosevelt Av,
7,74 St-Broadway,
F,Jamaica-179 St,
E,Jamaica Center-Parsons/Archer,
J,Jamaica Center-Parsons/Archer,
Z,Jamaica Center-Parsons/Archer,
E,Jamaica-Van Wyck,
7,Junction Blvd,
E,Kew Gardens-Union Tpke,
F,Kew Gardens-Union Tpke,
M,Northern Blvd,
R,Northern Blvd,
M,Middle Village-Metropolitan Av,
A,Ozone Park-Lefferts Blvd,
E,Queens Plaza,
M,Queens Plaza,
R,Queens Plaza,
N,Queensboro Plaza,
W,Queensboro Plaza,
7,Queensboro Plaza,
A,Rockaway Park-Beach 116 St,
H,Rockaway Park-Beach 116 St,
E,Sutphin Blvd-Archer Av-JFK Airport,
J,Sutphin Blvd-Archer Av-JFK Airport,
Z,Sutphin Blvd-Archer Av-JFK Airport,
J,Woodhaven Blvd,
Z,Woodhaven Blvd,
SIR,Arthur Kill,
SIR,Dongan Hills,
SIR,Great Kills,
SIR,New Dorp,
SIR,St George,
SIR,Tottenville,
